label,x_org,y_org,z_org,x_sim,y_sim,z_sim,error,distance,method
18,733382.5625,4051394.5,2429.474609375,733384.4375,4051399,2429.247314453125,4.880295890774469,651.4128620136963,Proposed Method
13,733268.625,4051453,2380.5380859375,733271.0625,4051457,2380.330078125,4.68878166478895,537.4347425865418,Proposed Method
26,733386.75,4051279.75,2451.15869140625,733388.9375,4051283.75,2452.156494140625,4.666986880925018,655.6722914753938,Proposed Method
4,734038.5625,4051882,2685.00048828125,734034.875,4051880.75,2682.7236328125,4.510457523974345,1307.203767940549,Proposed Method
42,733506.875,4051142.5,2506.780517578125,733503.625,4051144.75,2505.3515625,4.203202661697295,775.8619304408626,Proposed Method
70,733688.8125,4050607.75,2651.294189453125,733692.375,4050607.5,2653.3291015625,4.110325235657273,958.0056059161642,Proposed Method
80,733307.375,4050915.5,2470.132080078125,733307.25,4050919.5,2469.33984375,4.079615594587434,576.5860807762548,Proposed Method
40,733610.375,4051170.5,2570.95654296875,733608.625,4051174,2570.689697265625,3.9222068570227497,879.311056499366,Proposed Method
14,733546.0625,4051535.5,2482.88427734375,733542.875,4051537.75,2483.03125,3.9043894800192747,814.8235972459967,Proposed Method
79,733343.75,4050816.25,2496.1328125,733343,4050820,2495.367919921875,3.900007776411569,613.0083031146479,Proposed Method
38,734154.875,4051277.25,2808.50732421875,734152.375,4051278,2805.660400390625,3.8623147571302243,1423.7145986119483,Proposed Method
28,733461.0625,4051208.25,2479.224853515625,733458.5625,4051211,2478.385009765625,3.8102280147537186,730.0224510607426,Proposed Method
76,733237.375,4050792.75,2512.45947265625,733240.6875,4050794.25,2512.30615234375,3.639527904581183,506.69461330503975,Proposed Method
63,733440.4375,4050928.5,2520.9775390625,733438.5,4050931.25,2519.633544921875,3.6225304001532317,709.5640132272687,Proposed Method
31,734115.9375,4051488.25,2710.998291015625,734113.3125,4051489.25,2708.724365234375,3.614050837859565,1384.731609596327,Proposed Method
47,733642.5,4051055,2595.203369140625,733639.3125,4051055.75,2593.757080078125,3.5797218191232583,911.4883688949955,Proposed Method
46,734328.75,4050948.75,2964.540771484375,734330.3125,4050946,2965.984130859375,3.4766639951827947,1597.6610315484681,Proposed Method
19,733584.875,4051459.75,2513.154052734375,733582.0625,4051461.5,2512.531005859375,3.3705850617433266,853.6735977950036,Proposed Method
30,733495.8125,4051384.5,2479.747802734375,733496.4375,4051387.75,2480.353515625,3.364522715909241,764.6586901052755,Proposed Method
23,734058.875,4051644,2628.9326171875,734060.4375,4051645.25,2631.514404296875,3.2664247929708896,1327.6325105268447,Proposed Method
34,734256.125,4051229,2889.578369140625,734254.0625,4051230,2887.359619140625,3.1901031037413197,1524.9644872113774,Proposed Method
72,733511.4375,4050611.25,2592.890380859375,733510.1875,4050613.75,2591.95849609375,2.9463382725688443,780.7096457873379,Proposed Method
6,734260.5,4051730,2795.94921875,734262,4051732,2797.435302734375,2.9083406967918797,1529.2067554066225,Proposed Method
45,734316.1875,4051090.5,2941.465576171875,734318.5625,4051090.75,2943.033935546875,2.8570747503610034,1585.0603914614983,Proposed Method
11,733744.0625,4051702,2482.0537109375,733742.5,4051701,2479.97802734375,2.783858586811283,1012.7885145455158,Proposed Method
16,733369.3125,4051481.75,2420.091552734375,733368.375,4051484,2419.082763671875,2.638003340145654,638.0987432235826,Proposed Method
53,733359.75,4051002.5,2473.661376953125,733359.9375,4051005,2473.33154296875,2.5286254580796834,628.8715299034031,Proposed Method
43,733390.875,4051086,2445.92626953125,733389.3125,4051087.75,2445.4375,2.3964143850090585,659.9485505366829,Proposed Method
49,733689.5625,4051093.75,2623.839599609375,733687.6875,4051094,2622.5068359375,2.31395419251759,958.5162892755869,Proposed Method
68,733542.1875,4050799.5,2565.849609375,733542.5625,4050801.75,2565.634765625,2.2911313443174888,811.3499926338047,Proposed Method
2,734245.3125,4051960.25,2830.910888671875,734247.0625,4051960.75,2832.11328125,2.1813408518455075,1513.9287257884957,Proposed Method
62,733642.5,4050920.5,2619.89990234375,733640.75,4050920.25,2618.86865234375,2.0465767912541177,911.5485999647283,Proposed Method
48,733749.5625,4051042.75,2678.662109375,733751.3125,4051042.25,2679.588134765625,2.042063423129209,1018.5171350040582,Proposed Method
55,733898.125,4050848,2801.898193359375,733898.6875,4050846.5,2803.07373046875,1.9870313901691967,1167.1160471142707,Proposed Method
7,734085.25,4051717.75,2664.5107421875,734083.625,4051718,2663.568115234375,1.8951703281651813,1353.9718615088766,Proposed Method
78,733513.4375,4050550.75,2606.7978515625,733513.75,4050552.5,2606.3369140625,1.836469337861716,782.7387134636228,Proposed Method
59,734067.5,4050612.5,2897.031005859375,734068.25,4050611,2897.7080078125,1.8085440676231985,1336.544693975529,Proposed Method
52,733625.9375,4050999.25,2590.71923828125,733627.3125,4051000,2591.621337890625,1.807459184942921,894.9593061519438,Proposed Method
