vegetation,index,date,band,value
Other Vegetation,4,2015-10-10,G,164
Other Vegetation,4,2015-10-10,B,128
Other Vegetation,5,2015-08-25,R,158
Other Vegetation,5,2015-08-25,G,180
Other Vegetation,5,2015-08-25,B,109
Other Vegetation,5,2015-09-05,R,146
Other Vegetation,5,2015-09-05,G,166
Other Vegetation,5,2015-09-05,B,95
Other Vegetation,5,2015-09-12,R,202
Other Vegetation,5,2015-09-12,G,207
Other Vegetation,5,2015-09-12,B,135
Other Vegetation,5,2015-09-20,R,244
Other Vegetation,5,2015-09-20,G,205
Other Vegetation,5,2015-09-20,B,163
Other Vegetation,5,2015-09-26,R,154
Other Vegetation,5,2015-09-26,G,114
Other Vegetation,5,2015-09-26,B,69
Other Vegetation,5,2015-10-03,R,165
Other Vegetation,5,2015-10-03,G,117
Other Vegetation,5,2015-10-03,B,83
Other Vegetation,5,2015-10-10,R,160
Other Vegetation,5,2015-10-10,G,114
Other Vegetation,5,2015-10-10,B,90
Other Vegetation,6,2015-08-25,R,125
Other Vegetation,6,2015-08-25,G,156
Other Vegetation,6,2015-08-25,B,130
Other Vegetation,6,2015-09-05,R,124
Other Vegetation,6,2015-09-05,G,150
Other Vegetation,6,2015-09-05,B,121
Other Vegetation,6,2015-09-12,R,149
Other Vegetation,6,2015-09-12,G,151
Other Vegetation,6,2015-09-12,B,111
Other Vegetation,6,2015-09-20,R,139
Other Vegetation,6,2015-09-20,G,125
Other Vegetation,6,2015-09-20,B,109
Other Vegetation,6,2015-09-26,R,141
Other Vegetation,6,2015-09-26,G,111
Other Vegetation,6,2015-09-26,B,100
Other Vegetation,6,2015-10-03,R,147
Other Vegetation,6,2015-10-03,G,119
Other Vegetation,6,2015-10-03,B,116
Other Vegetation,6,2015-10-10,R,158
Other Vegetation,6,2015-10-10,G,128
Other Vegetation,6,2015-10-10,B,125
Other Vegetation,7,2015-08-25,R,150
Other Vegetation,7,2015-08-25,G,176
Other Vegetation,7,2015-08-25,B,105
Other Vegetation,7,2015-09-05,R,141
Other Vegetation,7,2015-09-05,G,156
Other Vegetation,7,2015-09-05,B,99
Other Vegetation,7,2015-09-12,R,149
Other Vegetation,7,2015-09-12,G,154
Other Vegetation,7,2015-09-12,B,96
Other Vegetation,7,2015-09-20,R,192
Other Vegetation,7,2015-09-20,G,143
Other Vegetation,7,2015-09-20,B,82
Other Vegetation,7,2015-09-26,R,178
Other Vegetation,7,2015-09-26,G,120
Other Vegetation,7,2015-09-26,B,92
Other Vegetation,7,2015-10-03,R,159
Other Vegetation,7,2015-10-03,G,114
Other Vegetation,7,2015-10-03,B,98
Other Vegetation,7,2015-10-10,R,152
Other Vegetation,7,2015-10-10,G,107
Other Vegetation,7,2015-10-10,B,90
Other Vegetation,8,2015-08-25,R,125
Other Vegetation,8,2015-08-25,G,144
Other Vegetation,8,2015-08-25,B,94
Other Vegetation,8,2015-09-05,R,133
Other Vegetation,8,2015-09-05,G,145
Other Vegetation,8,2015-09-05,B,95
Other Vegetation,8,2015-09-12,R,172
Other Vegetation,8,2015-09-12,G,170
Other Vegetation,8,2015-09-12,B,96
Other Vegetation,8,2015-09-20,R,232
Other Vegetation,8,2015-09-20,G,176
Other Vegetation,8,2015-09-20,B,94
Other Vegetation,8,2015-09-26,R,191
Other Vegetation,8,2015-09-26,G,134
Other Vegetation,8,2015-09-26,B,89
Other Vegetation,8,2015-10-03,R,201
Other Vegetation,8,2015-10-03,G,163
Other Vegetation,8,2015-10-03,B,124
Other Vegetation,8,2015-10-10,R,183
Other Vegetation,8,2015-10-10,G,147
Other Vegetation,8,2015-10-10,B,117
Other Vegetation,9,2015-08-25,R,123
Other Vegetation,9,2015-08-25,G,139
Other Vegetation,9,2015-08-25,B,95
Other Vegetation,9,2015-09-05,R,127
Other Vegetation,9,2015-09-05,G,140
Other Vegetation,9,2015-09-05,B,96
Other Vegetation,9,2015-09-12,R,150
Other Vegetation,9,2015-09-12,G,151
Other Vegetation,9,2015-09-12,B,102
Other Vegetation,9,2015-09-20,R,182
Other Vegetation,9,2015-09-20,G,137
Other Vegetation,9,2015-09-20,B,102
Other Vegetation,9,2015-09-26,R,165
Other Vegetation,9,2015-09-26,G,119
Other Vegetation,9,2015-09-26,B,95
Other Vegetation,9,2015-10-03,R,168
Other Vegetation,9,2015-10-03,G,133
Other Vegetation,9,2015-10-03,B,104
Other Vegetation,9,2015-10-10,R,146
Other Vegetation,9,2015-10-10,G,118
Other Vegetation,9,2015-10-10,B,97
No Vegetation,0,2015-08-25,R,224
No Vegetation,0,2015-08-25,G,233
No Vegetation,0,2015-08-25,B,238
No Vegetation,0,2015-09-05,R,222
No Vegetation,0,2015-09-05,G,231
No Vegetation,0,2015-09-05,B,236
No Vegetation,0,2015-09-12,R,232
No Vegetation,0,2015-09-12,G,237
No Vegetation,0,2015-09-12,B,240
No Vegetation,0,2015-09-20,R,222
No Vegetation,0,2015-09-20,G,229
No Vegetation,0,2015-09-20,B,236
No Vegetation,0,2015-09-26,R,221
No Vegetation,0,2015-09-26,G,230
No Vegetation,0,2015-09-26,B,235
No Vegetation,0,2015-10-03,R,224
No Vegetation,0,2015-10-03,G,231
No Vegetation,0,2015-10-03,B,233
No Vegetation,0,2015-10-10,R,212
No Vegetation,0,2015-10-10,G,220
No Vegetation,0,2015-10-10,B,227
No Vegetation,1,2015-08-25,R,207
No Vegetation,1,2015-08-25,G,214
No Vegetation,1,2015-08-25,B,220
No Vegetation,1,2015-09-05,R,201
No Vegetation,1,2015-09-05,G,208
No Vegetation,1,2015-09-05,B,216
No Vegetation,1,2015-09-12,R,210
No Vegetation,1,2015-09-12,G,212
No Vegetation,1,2015-09-12,B,216
No Vegetation,1,2015-09-20,R,203
No Vegetation,1,2015-09-20,G,208
No Vegetation,1,2015-09-20,B,213
No Vegetation,1,2015-09-26,R,201
No Vegetation,1,2015-09-26,G,206
No Vegetation,1,2015-09-26,B,210
No Vegetation,1,2015-10-03,R,207
No Vegetation,1,2015-10-03,G,210
No Vegetation,1,2015-10-03,B,214
No Vegetation,1,2015-10-10,R,186
No Vegetation,1,2015-10-10,G,193
No Vegetation,1,2015-10-10,B,199
No Vegetation,2,2015-08-25,R,192
No Vegetation,2,2015-08-25,G,200
No Vegetation,2,2015-08-25,B,209
No Vegetation,2,2015-09-05,R,191
No Vegetation,2,2015-09-05,G,195
No Vegetation,2,2015-09-05,B,206
No Vegetation,2,2015-09-12,R,165
No Vegetation,2,2015-09-12,G,168
No Vegetation,2,2015-09-12,B,182
No Vegetation,2,2015-09-20,R,150
No Vegetation,2,2015-09-20,G,160
No Vegetation,2,2015-09-20,B,178
No Vegetation,2,2015-09-26,R,178
No Vegetation,2,2015-09-26,G,182
No Vegetation,2,2015-09-26,B,190
No Vegetation,2,2015-10-03,R,145
No Vegetation,2,2015-10-03,G,151
No Vegetation,2,2015-10-03,B,165
No Vegetation,2,2015-10-10,R,170
No Vegetation,2,2015-10-10,G,174
No Vegetation,2,2015-10-10,B,182
No Vegetation,3,2015-08-25,R,221
No Vegetation,3,2015-08-25,G,230
No Vegetation,3,2015-08-25,B,235
No Vegetation,3,2015-09-05,R,219
No Vegetation,3,2015-09-05,G,226
No Vegetation,3,2015-09-05,B,232
No Vegetation,3,2015-09-12,R,221
No Vegetation,3,2015-09-12,G,226
No Vegetation,3,2015-09-12,B,231
No Vegetation,3,2015-09-20,R,216
No Vegetation,3,2015-09-20,G,219
No Vegetation,3,2015-09-20,B,226
No Vegetation,3,2015-09-26,R,216
No Vegetation,3,2015-09-26,G,223
No Vegetation,3,2015-09-26,B,227
No Vegetation,3,2015-10-03,R,215
No Vegetation,3,2015-10-03,G,220
No Vegetation,3,2015-10-03,B,224
No Vegetation,3,2015-10-10,R,205
No Vegetation,3,2015-10-10,G,212
No Vegetation,3,2015-10-10,B,220
No Vegetation,4,2015-08-25,R,182
No Vegetation,4,2015-08-25,G,190
No Vegetation,4,2015-08-25,B,200
No Vegetation,4,2015-09-05,R,181
No Vegetation,4,2015-09-05,G,183
No Vegetation,4,2015-09-05,B,195
No Vegetation,4,2015-09-12,R,150
No Vegetation,4,2015-09-12,G,153
No Vegetation,4,2015-09-12,B,166
No Vegetation,4,2015-09-20,R,139
No Vegetation,4,2015-09-20,G,146
No Vegetation,4,2015-09-20,B,166
No Vegetation,4,2015-09-26,R,168
No Vegetation,4,2015-09-26,G,168
No Vegetation,4,2015-09-26,B,178
No Vegetation,4,2015-10-03,R,134
No Vegetation,4,2015-10-03,G,137
No Vegetation,4,2015-10-03,B,149
No Vegetation,4,2015-10-10,R,162
No Vegetation,4,2015-10-10,G,162
No Vegetation,4,2015-10-10,B,174
No Vegetation,5,2015-08-25,R,212
No Vegetation,5,2015-08-25,G,218
No Vegetation,5,2015-08-25,B,224
No Vegetation,5,2015-09-05,R,204
No Vegetation,5,2015-09-05,G,211
No Vegetation,5,2015-09-05,B,217
No Vegetation,5,2015-09-12,R,215
No Vegetation,5,2015-09-12,G,218
No Vegetation,5,2015-09-12,B,223
No Vegetation,5,2015-09-20,R,209
No Vegetation,5,2015-09-20,G,213
No Vegetation,5,2015-09-20,B,219
No Vegetation,5,2015-09-26,R,204
No Vegetation,5,2015-09-26,G,209
No Vegetation,5,2015-09-26,B,215
No Vegetation,5,2015-10-03,R,211
No Vegetation,5,2015-10-03,G,214
No Vegetation,5,2015-10-03,B,218
No Vegetation,5,2015-10-10,R,192
No Vegetation,5,2015-10-10,G,197
No Vegetation,5,2015-10-10,B,203
No Vegetation,6,2015-08-25,R,195
No Vegetation,6,2015-08-25,G,205
No Vegetation,6,2015-08-25,B,214
No Vegetation,6,2015-09-05,R,190
No Vegetation,6,2015-09-05,G,199
No Vegetation,6,2015-09-05,B,208
No Vegetation,6,2015-09-12,R,115
No Vegetation,6,2015-09-12,G,129
No Vegetation,6,2015-09-12,B,154
No Vegetation,6,2015-09-20,R,111
No Vegetation,6,2015-09-20,G,131
No Vegetation,6,2015-09-20,B,157
No Vegetation,6,2015-09-26,R,166
No Vegetation,6,2015-09-26,G,179
No Vegetation,6,2015-09-26,B,189
No Vegetation,6,2015-10-03,R,101
No Vegetation,6,2015-10-03,G,118
No Vegetation,6,2015-10-03,B,141
No Vegetation,6,2015-10-10,R,162
No Vegetation,6,2015-10-10,G,172
No Vegetation,6,2015-10-10,B,182
